Column Name,Description,API Field Name,Data Type
NUMBER OF CYCLIST KILLED,Number of cyclists killed,number_of_cyclist_killed,Number
NUMBER OF MOTORIST INJURED,Number of vehicle occupants injured,number_of_motorist_injured,Number
NUMBER OF MOTORIST KILLED,Number of vehicle occupants killed,number_of_motorist_killed,Number
CONTRIBUTING FACTOR VEHICLE 1,Factors contributing to the collision for designated vehicle,contributing_factor_vehicle_1,Text
CONTRIBUTING FACTOR VEHICLE 2,Factors contributing to the collision for designated vehicle,contributing_factor_vehicle_2,Text
CONTRIBUTING FACTOR VEHICLE 3,Factors contributing to the collision for designated vehicle,contributing_factor_vehicle_3,Text
CONTRIBUTING FACTOR VEHICLE 4,Factors contributing to the collision for designated vehicle,contributing_factor_vehicle_4,Text
CONTRIBUTING FACTOR VEHICLE 5,Factors contributing to the collision for designated vehicle,contributing_factor_vehicle_5,Text
COLLISION_ID,Unique record code generated by system. Primary Key for Crash table.,collision_id,Number
VEHICLE TYPE CODE 1,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",vehicle_type_code1,Text
VEHICLE TYPE CODE 2,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",vehicle_type_code2,Text
VEHICLE TYPE CODE 3,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",vehicle_type_code_3,Text
VEHICLE TYPE CODE 4,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",vehicle_type_code_4,Text
VEHICLE TYPE CODE 5,"Type of vehicle based on the selected vehicle category (ATV, bicycle, car/suv, ebike, escooter, truck/bus, motorcycle, other)",vehicle_type_code_5,Text
CRASH DATE,Occurrence date of collision,crash_date,Floating Timestamp
CRASH TIME,Occurrence time of collision,crash_time,Text
BOROUGH,Borough where collision occurred,borough,Text
ZIP CODE,Postal code of incident occurrence,zip_code,Text
LATITUDE,"Latitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326)",latitude,Number
LONGITUDE,"Longitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326)",longitude,Number
LOCATION,"Latitude , Longitude pair",location,Location
ON STREET NAME,Street on which the collision occurred,on_street_name,Text
CROSS STREET NAME,Nearest cross street to the collision,cross_street_name,Text
OFF STREET NAME,Street address if known,off_street_name,Text
NUMBER OF PERSONS INJURED,Number of persons injured,number_of_persons_injured,Number
NUMBER OF PERSONS KILLED,Number of persons killed,number_of_persons_killed,Number
NUMBER OF PEDESTRIANS INJURED,Number of pedestrians injured,number_of_pedestrians_injured,Number
NUMBER OF PEDESTRIANS KILLED,Number of pedestrians killed,number_of_pedestrians_killed,Number
NUMBER OF CYCLIST INJURED,Number of cyclists injured,number_of_cyclist_injured,Number
